Date,"System 0-A
(纯规则 S4)","System 1
(纯ML)","System 4
(ML+ATR+BBL+TOCE)","System 5
(完整ARMS)","MA均线交叉
(5/20)",B&H
2019-11-29,944520.6618788068,1032438.1247561408,989556.1615520432,1003520.5190543267,941017.0271402667,986503.6343394769
2019-12-02,950850.8685913247,1037721.29398216,993642.178408611,1008641.2499221754,941363.7446005106,990614.4827118809
2019-12-03,965454.9687971607,1040085.5648967138,996275.7745071177,1008959.4774346654,962617.5772620678,997566.6036559051
2019-12-04,964499.0343463838,1040010.3810449443,995272.5256748748,1008461.0857929578,985841.8564060865,997862.0785643326
2019-12-05,976341.3328981246,1046225.8995579147,1000220.4339348515,1012109.5294227178,993306.6842016204,1006970.2908629964
2019-12-06,971729.0705856758,1054229.8697955993,1002713.7608904855,1011726.6008812591,995125.9611478584,1013787.3053765694
2019-12-09,976566.3701063069,1054397.1727129694,1000114.6619771178,1017084.8523949421,998943.4168124998,1014279.6589841318
2019-12-10,989433.6691170161,1054055.6067133932,999780.262055207,1017112.9841340167,1019456.4929186262,1015942.424282471
2019-12-11,979906.1219497703,1053667.9078740086,998204.6667641251,1016309.3033803445,990135.278813443,1012866.0895387563
2019-12-12,972570.6298441006,1051195.9903812225,996148.793395678,1015538.117956374,993130.402504085,1010174.4686960303
2019-12-13,984329.8567101364,1060628.36011063,1003475.5729893625,1018790.1345773226,1003383.4097970937,1022831.6808605464
2019-12-16,1011235.6786128774,1064437.1266178277,1004589.3266779043,1022177.6927272424,1025181.5731870054,1031475.7575718545
2019-12-17,1004528.8533943796,1066674.377946075,1001483.2833206285,1022445.585745047,1061189.3721735254,1044684.477528388
2019-12-18,994318.7688256414,1060161.5029031434,994934.8083740171,1021446.6587058824,1050862.540093139,1042286.3939874474
2019-12-19,990334.3783121943,1055735.2850818525,993037.5681877948,1017987.2590378054,1037071.4288880568,1043949.7800317641
2019-12-20,972817.6572333433,1054913.1050079404,988465.2907638346,1014663.4721212365,1017660.0404522906,1038090.0674428504
2019-12-23,947584.4011430326,1054984.7206251232,982080.2017195668,1009840.5991163165,1028867.2181246686,1024901.0463151025
2019-12-24,959354.8359496274,1063538.2061083717,989185.7053415045,1014329.137555834,1089489.285013656,1040432.4041709955
2019-12-25,966799.9093787124,1068747.9172419067,991311.7428198494,1015127.7597557937,1125316.1001684337,1042523.3592077091
2019-12-26,969173.5021854239,1069120.8652383867,992053.6743177298,1016552.7628804741,1169530.9716879986,1050338.0953174285
2019-12-27,975651.8040351396,1073224.5038207462,990239.2431364033,1016381.3432432605,1224754.7302955738,1049821.1605562454
2019-12-30,992950.2536852304,1077858.1598231785,996780.4863264068,1018272.7658507794,1262451.8186779637,1062294.0059880237
2019-12-31,998445.6825198367,1078471.7851052952,996880.1239488471,1019652.9799815476,1306598.8632035924,1069940.0920940214
2020-01-02,1010127.7332035875,1092144.4352175256,1004900.8690544566,1022695.297340037,1356558.7100439519,1084113.137457956
2020-01-03,1037877.3855731101,1106676.6005397225,1005886.4485688764,1024098.9400599337,1387554.7041106725,1090852.599207495
